received_date,effective_date,emp_num
13/1/2023,12/1/2023,130
12/1/2023,12/1/2023,155
24/1/2023,26/3/2023,156
11/1/2023,30/6/2023,67
19/1/2023,31/3/2023,54
19/1/2023,31/3/2023,451
17/1/2023,31/3/2023,140
12/1/2023,27/1/2023,306
28/12/2022,30/3/2023,60
1/12/2022,1/2/2023,77
21/12/2022,1/3/2023,96
21/12/2022,13/2/2023,31
22/12/2022,24/2/2023,35
21/12/2022,14/2/2023,88
21/12/2022,28/2/2023,106
5/12/2022,2/6-19/23,268
19/12/2022,28/2/2023,164
10/6/2021,28/2/2023,119
1/3/2019,23/7/2021,73
16/9/2022,27/12/2022,0
24/5/2021,24/2/2023,161
26/2/2019,28/2/2023,1321
18/5/2020,25/2/2023,148
29/11/2022,28/2/2023,42
28/11/2022,20/1/2023,75
2/11/2022,1/1/2023,161
3/11/2022,3/1/2023,120
4/11/2022,26/10/2022,150
18/11/2021,17/1/2023,75
6/6/2022,1/7/2022,0
17/10/2022,16/12/2022,36
27/10/2022,31/12/2022,236
24/10/2022,31/1/2023,275
13/10/2022,12/12/2022,61
17/10/2022,31/1/2023,30
14/10/2022,23/11/2022,132
27/9/2022,21/11/2022,56
22/9/2022,19/11/2022,40
22/9/2022,9/11/2022,48
9/9/2022,12/11/2022,54
2/9/2022,28/10/2022,200
12/9/2022,13/11/2022,52